air_basin,burn_day_decision_code,date,description
San Francisco Bay South High,B,10/9/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/9/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/9/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/9/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/9/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/9/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/9/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/9/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/9/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/9/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/9/2023,Permissive Burn Day Decision 
South Coast,B,10/9/2023,Permissive Burn Day Decision 
San Diego West High,B,10/9/2023,Permissive Burn Day Decision 
San Diego West Low,B,10/9/2023,Permissive Burn Day Decision 
Mojave Desert,B,10/9/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/9/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,10/9/2023,Good
Sacramento Valley Low,2,10/9/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/9/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,10/9/2023,Good
Mountain Counties North,G,10/9/2023,Good
Mountain Counties South,G,10/9/2023,Good
Lake Tahoe,B,10/9/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/9/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/9/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/9/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/9/2023,
North Coast High,G,10/10/2023,Good
North Coast Low,B,10/10/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/10/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/10/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/10/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/10/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/10/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/10/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/10/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/10/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/10/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/10/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/10/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/10/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/10/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/10/2023,Permissive Burn Day Decision 
South Coast,B,10/10/2023,Permissive Burn Day Decision 
San Diego West High,B,10/10/2023,Permissive Burn Day Decision 
San Diego West Low,B,10/10/2023,Permissive Burn Day Decision 
Mojave Desert,B,10/10/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/10/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,10/10/2023,Good
Sacramento Valley Low,2,10/10/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/10/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,10/10/2023,Good
Mountain Counties North,G,10/10/2023,Good
Mountain Counties South,G,10/10/2023,Good
Lake Tahoe,B,10/10/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/10/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/10/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),74,10/10/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/10/2023,
North Coast High,G,10/11/2023,Good
North Coast Low,B,10/11/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/11/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/11/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/11/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/11/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/11/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/11/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/11/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/11/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/11/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/11/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/11/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/11/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/11/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/11/2023,Permissive Burn Day Decision 
South Coast,B,10/11/2023,Permissive Burn Day Decision 
San Diego West High,B,10/11/2023,Permissive Burn Day Decision 
San Diego West Low,B,10/11/2023,Permissive Burn Day Decision 
Mojave Desert,B,10/11/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/11/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,10/11/2023,Good
Sacramento Valley Low,2R,10/11/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/11/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,10/11/2023,Good
Mountain Counties North,G,10/11/2023,Good
Mountain Counties South,G,10/11/2023,Good
Lake Tahoe,B,10/11/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/11/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/11/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/11/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/11/2023,
North Coast High,G,10/12/2023,Good
North Coast Low,B,10/12/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/12/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/12/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/12/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/12/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/12/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/12/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/12/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/12/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/12/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/12/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/12/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/12/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/12/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/12/2023,Permissive Burn Day Decision 
South Coast,B,10/12/2023,Permissive Burn Day Decision 
San Diego West High,B,10/12/2023,Permissive Burn Day Decision 
San Diego West Low,B,10/12/2023,Permissive Burn Day Decision 
Mojave Desert,B,10/12/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/12/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,10/12/2023,Good
Sacramento Valley Low,2R,10/12/2023,"The Number of Acres Allocated (in 1,000's) - Restricted Field Day"
San Joaquin Valley Authorized VOC / PM10 / NOx,1.4P,10/12/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,10/12/2023,Good
Mountain Counties North,G,10/12/2023,Good
Mountain Counties South,G,10/12/2023,Good
Lake Tahoe,B,10/12/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/12/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/12/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/12/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/12/2023,
North Coast High,S,10/13/2023,Superior
North Coast Low,B,10/13/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/13/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/13/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/13/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/13/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/13/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/13/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/13/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/13/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/13/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/13/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/13/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/13/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/13/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/13/2023,Permissive Burn Day Decision 
South Coast,NB,10/13/2023,No-Burn Day Decision
San Diego West High,B,10/13/2023,Permissive Burn Day Decision 
San Diego West Low,NB,10/13/2023,No-Burn Day Decision
Mojave Desert,B,10/13/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/13/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,10/13/2023,Good
Sacramento Valley Low,2,10/13/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0.7p,10/13/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,S,10/13/2023,Superior
Mountain Counties North,G,10/13/2023,Good
Mountain Counties South,G,10/13/2023,Good
Lake Tahoe,B,10/13/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/13/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/13/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/13/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/13/2023,
North Coast High,G,10/14/2023,Good
North Coast Low,B,10/14/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/14/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/14/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/14/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/14/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/14/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/14/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/14/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/14/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/14/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/14/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/14/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/14/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/14/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/14/2023,Permissive Burn Day Decision 
South Coast,B,10/14/2023,Permissive Burn Day Decision 
San Diego West High,B,10/14/2023,Permissive Burn Day Decision 
San Diego West Low,B,10/14/2023,Permissive Burn Day Decision 
Mojave Desert,B,10/14/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/14/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,10/14/2023,Good
Sacramento Valley Low,2,10/14/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0.4p,10/14/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,10/14/2023,Good
Mountain Counties North,G,10/14/2023,Good
Mountain Counties South,G,10/14/2023,Good
Lake Tahoe,B,10/14/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/14/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/14/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/14/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/14/2023,
North Coast High,F,10/15/2023,Fair
North Coast Low,B,10/15/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/15/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/15/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/15/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/15/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/15/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/15/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/15/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/15/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/15/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/15/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/15/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/15/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/15/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/15/2023,Permissive Burn Day Decision 
South Coast,B,10/15/2023,Permissive Burn Day Decision 
San Diego West High,B,10/15/2023,Permissive Burn Day Decision 
San Diego West Low,B,10/15/2023,Permissive Burn Day Decision 
Mojave Desert,B,10/15/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/15/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,10/15/2023,Fair
Sacramento Valley Low,2,10/15/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0.4p,10/15/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,10/15/2023,Fair
Mountain Counties North,F,10/15/2023,Fair
Mountain Counties South,F,10/15/2023,Fair
Lake Tahoe,B,10/15/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/15/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/15/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/15/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/15/2023,
North Coast High,F,10/16/2023,Fair
North Coast Low,B,10/16/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/16/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/16/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/16/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/16/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/16/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/16/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/16/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/16/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/16/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/16/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/16/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/16/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/16/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/16/2023,Permissive Burn Day Decision 
South Coast,B,10/16/2023,Permissive Burn Day Decision 
San Diego West High,B,10/16/2023,Permissive Burn Day Decision 
San Diego West Low,B,10/16/2023,Permissive Burn Day Decision 
Mojave Desert,B,10/16/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/16/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,10/16/2023,Fair
Sacramento Valley Low,2,10/16/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/16/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,10/16/2023,Fair
Mountain Counties North,F,10/16/2023,Fair
Mountain Counties South,F,10/16/2023,Fair
Lake Tahoe,B,10/16/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/16/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/16/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/16/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/16/2023,
North Coast High,F,10/17/2023,Fair
North Coast Low,B,10/17/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/17/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/17/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/17/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/17/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/17/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/17/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/17/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/17/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/17/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/17/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/17/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/17/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/17/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/17/2023,Permissive Burn Day Decision 
South Coast,NB,10/17/2023,No-Burn Day Decision
San Diego West High,B,10/17/2023,Permissive Burn Day Decision 
San Diego West Low,NB,10/17/2023,No-Burn Day Decision
Mojave Desert,B,10/17/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/17/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,10/17/2023,Fair
Sacramento Valley Low,2,10/17/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/17/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,10/17/2023,Fair
Mountain Counties North,F,10/17/2023,Fair
Mountain Counties South,F,10/17/2023,Fair
Lake Tahoe,B,10/17/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/17/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/17/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/17/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/17/2023,
North Coast High,F,10/18/2023,Fair
North Coast Low,B,10/18/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/18/2023,Permissive Burn Day Decision 
San Francisco Bay North High,NB,10/18/2023,No-Burn Day Decision
San Francisco Bay North Low,NB,10/18/2023,No-Burn Day Decision
San Francisco Bay South High,NB,10/18/2023,No-Burn Day Decision
San Francisco Bay South Low,NB,10/18/2023,No-Burn Day Decision
San Francisco Bay Coastal High,B,10/18/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/18/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/18/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/18/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/18/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/18/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/18/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/18/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/18/2023,Permissive Burn Day Decision 
South Coast,M,10/18/2023,Marginal Burn Day Decision
San Diego West High,NB,10/18/2023,No-Burn Day Decision
San Diego West Low,NB,10/18/2023,No-Burn Day Decision
Mojave Desert,B,10/18/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/18/2023,Permissive Burn Day Decision 
Sacramento Valley High,F,10/18/2023,Fair
Sacramento Valley Low,2,10/18/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/18/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,10/18/2023,Fair
Mountain Counties North,F,10/18/2023,Fair
Mountain Counties South,F,10/18/2023,Fair
Lake Tahoe,F,10/18/2023,Fair
Great Basin Valleys North,M,10/18/2023,Marginal Burn Day Decision
Great Basin Valleys South,M,10/18/2023,Marginal Burn Day Decision
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/18/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/18/2023,
North Coast High,M,10/19/2023,Marginal
North Coast Low,M,10/19/2023,Marginal Burn Day Decision
Lake County  (Burn Ban Through November),M,10/19/2023,Marginal Burn Day Decision
San Francisco Bay North High,NB,10/19/2023,No-Burn Day Decision
San Francisco Bay North Low,NB,10/19/2023,No-Burn Day Decision
San Francisco Bay South High,NB,10/19/2023,No-Burn Day Decision
San Francisco Bay South Low,NB,10/19/2023,No-Burn Day Decision
San Francisco Bay Coastal High,NB,10/19/2023,No-Burn Day Decision
San Francisco Bay Coastal Low,NB,10/19/2023,No-Burn Day Decision
North Central Coast Coastal,B,10/19/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/19/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/19/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/19/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/19/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/19/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/19/2023,Permissive Burn Day Decision 
South Coast,M,10/19/2023,Marginal Burn Day Decision
San Diego West High,NB,10/19/2023,No-Burn Day Decision
San Diego West Low,NB,10/19/2023,No-Burn Day Decision
Mojave Desert,M,10/19/2023,Marginal Burn Day Decision
Salton Sea and San Diego East,M,10/19/2023,Marginal Burn Day Decision
Sacramento Valley High,M,10/19/2023,Marginal
Sacramento Valley Low,2,10/19/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/19/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,M,10/19/2023,Marginal
Mountain Counties North,M,10/19/2023,Marginal
Mountain Counties South,M,10/19/2023,Marginal
Lake Tahoe,M,10/19/2023,Marginal Burn Day Decision
Great Basin Valleys North,M,10/19/2023,Marginal Burn Day Decision
Great Basin Valleys South,M,10/19/2023,Marginal Burn Day Decision
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/19/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/19/2023,
North Coast High,F,10/20/2023,Fair
North Coast Low,M,10/20/2023,Marginal Burn Day Decision
Lake County  (Burn Ban Through November),M,10/20/2023,Marginal Burn Day Decision
San Francisco Bay North High,B,10/20/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/20/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/20/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/20/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/20/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/20/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/20/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/20/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/20/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/20/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/20/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/20/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/20/2023,Permissive Burn Day Decision 
South Coast,M,10/20/2023,Marginal Burn Day Decision
San Diego West High,NB,10/20/2023,No-Burn Day Decision
San Diego West Low,NB,10/20/2023,No-Burn Day Decision
Mojave Desert,M,10/20/2023,Marginal Burn Day Decision
Salton Sea and San Diego East,M,10/20/2023,Marginal Burn Day Decision
Sacramento Valley High,M,10/20/2023,Marginal
Sacramento Valley Low,2,10/20/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/20/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,F,10/20/2023,Fair
Mountain Counties North,M,10/20/2023,Marginal
Mountain Counties South,M,10/20/2023,Marginal
Lake Tahoe,M,10/20/2023,Marginal Burn Day Decision
Great Basin Valleys North,M,10/20/2023,Marginal Burn Day Decision
Great Basin Valleys South,M,10/20/2023,Marginal Burn Day Decision
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/20/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/20/2023,
North Coast High,G,10/21/2023,Good
North Coast Low,B,10/21/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/21/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/21/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/21/2023,Permissive Burn Day Decision 
San Francisco Bay South High,B,10/21/2023,Permissive Burn Day Decision 
San Francisco Bay South Low,B,10/21/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal High,B,10/21/2023,Permissive Burn Day Decision 
San Francisco Bay Coastal Low,B,10/21/2023,Permissive Burn Day Decision 
North Central Coast Coastal,B,10/21/2023,Permissive Burn Day Decision 
North Central Coast Inland,B,10/21/2023,Permissive Burn Day Decision 
North Central Coast San Lorenzo Valley,B,10/21/2023,Permissive Burn Day Decision 
South Central Coast High,B,10/21/2023,Permissive Burn Day Decision 
South Central Coast South Low,B,10/21/2023,Permissive Burn Day Decision 
South Central Coast North Low (Coastal),B,10/21/2023,Permissive Burn Day Decision 
South Central Coast North Low (Inland),B,10/21/2023,Permissive Burn Day Decision 
South Coast,B,10/21/2023,Permissive Burn Day Decision 
San Diego West High,B,10/21/2023,Permissive Burn Day Decision 
San Diego West Low,B,10/21/2023,Permissive Burn Day Decision 
Mojave Desert,B,10/21/2023,Permissive Burn Day Decision 
Salton Sea and San Diego East,B,10/21/2023,Permissive Burn Day Decision 
Sacramento Valley High,G,10/21/2023,Good
Sacramento Valley Low,3,10/21/2023,"The Number of Acres Allocated (in 1,000's)"
San Joaquin Valley Authorized VOC / PM10 / NOx,0,10/21/2023,"Number of Tons - Volatile Organic Compound, Particulate Matter, or NOx"
Northeast Plateau,G,10/21/2023,Good
Mountain Counties North,G,10/21/2023,Good
Mountain Counties South,G,10/21/2023,Good
Lake Tahoe,B,10/21/2023,Permissive Burn Day Decision 
Great Basin Valleys North,B,10/21/2023,Permissive Burn Day Decision 
Great Basin Valleys South,B,10/21/2023,Permissive Burn Day Decision 
Bay Area Fall / Spring Tule Burn Allocation (Acres),0,10/21/2023,Acres
"*Elevation Other Than 3,000 Feet (1,000's of Feet)",,10/21/2023,
North Coast High,G,10/22/2023,Good
North Coast Low,B,10/22/2023,Permissive Burn Day Decision 
Lake County  (Burn Ban Through November),B,10/22/2023,Permissive Burn Day Decision 
San Francisco Bay North High,B,10/22/2023,Permissive Burn Day Decision 
San Francisco Bay North Low,B,10/22/2023,Permissive Burn Day Decision 
